model,month,count,baseline_avg6,signal
CARNIVAL,2022-11,1,1.6666666666666667,False
CARNIVAL,2022-12,1,1.6666666666666667,False
CARNIVAL,2023-01,1,1.6666666666666667,False
CARNIVAL,2023-02,3,1.5,False
CARNIVAL,2023-03,1,1.6666666666666667,False
CARNIVAL,2023-04,5,1.6666666666666667,False
CARNIVAL,2023-05,5,2.0,False
CARNIVAL,2023-06,4,2.6666666666666665,False
CARNIVAL,2023-07,4,3.1666666666666665,False
CARNIVAL,2023-08,6,3.6666666666666665,False
CARNIVAL,2023-09,5,4.166666666666667,False
CARNIVAL,2023-10,0,4.833333333333333,False
CARNIVAL,2023-11,1,4.0,False
CARNIVAL,2023-12,0,3.3333333333333335,False
CARNIVAL,2024-01,3,2.6666666666666665,False
CARNIVAL,2024-02,1,2.5,False
CARNIVAL,2024-03,1,1.6666666666666667,False
CARNIVAL,2024-04,2,1.0,False
CARNIVAL,2024-05,6,1.3333333333333333,False
CARNIVAL,2024-06,2,2.1666666666666665,False
CARNIVAL,2024-07,6,2.5,False
CARNIVAL,2024-08,53,3.0,True
CARNIVAL,2024-09,0,11.666666666666666,False
CARNIVAL,2024-10,2,11.5,False
CARNIVAL,2024-11,7,11.5,False
CARNIVAL,2024-12,0,11.666666666666666,False
CARNIVAL,2025-01,2,11.333333333333334,False
CARNIVAL,2025-02,2,10.666666666666666,False
CARNIVAL,2025-03,7,2.1666666666666665,False
CARNIVAL,2025-04,2,3.3333333333333335,False
CARNIVAL,2025-05,4,3.3333333333333335,False
CARNIVAL,2025-06,3,2.8333333333333335,False
CARNIVAL,2025-07,8,3.3333333333333335,False
CARNIVAL,2025-08,10,4.333333333333333,True
CARNIVAL,2025-09,8,5.666666666666667,False
CARNIVAL,2025-10,5,5.833333333333333,False
CARNIVAL,2025-11,8,6.333333333333333,False
CARNIVAL,2025-12,11,7.0,False
CARNIVAL,2026-01,10,8.333333333333334,False
CARNIVAL,2026-02,7,8.666666666666666,False
CARNIVAL,2026-03,12,8.166666666666666,False
CARNIVAL,2026-04,10,8.833333333333334,False
CARNIVAL,2026-05,10,9.666666666666666,False
CARNIVAL,2026-06,1,10.0,False
CARNIVAL HYBRID,2022-07,0,0.0,False
CARNIVAL HYBRID,2022-08,0,0.0,False
CARNIVAL HYBRID,2022-09,0,0.0,False
CARNIVAL HYBRID,2022-10,0,0.0,False
CARNIVAL HYBRID,2022-11,0,0.0,False
CARNIVAL HYBRID,2022-12,0,0.0,False
CARNIVAL HYBRID,2023-01,0,0.0,False
CARNIVAL HYBRID,2023-02,0,0.0,False
CARNIVAL HYBRID,2023-03,0,0.0,False
