제작자,차명,차명_정규화,모델_영문,미국판매여부,생산기간(부터),생산기간(까지),리콜개시일,리콜개시일_dt,리콜대수,리콜대수_n,sw관련,리콜사유
현대자동차,일렉시티(CY) FCEV,일렉시티 FCEV,FCEV,True,2020-07-27,2024-06-07,2024-07-10,2024-07-10,835,835,False,일부 차량에서 구동모터 인슐레이터 내구 강성 설계 오류로 인슐레이터 4개소 모두 파손 시 구동모터와 차체가 분리되어 동력 전달 불가로 차량 멈춤 가능성이 있는 결함
기아,K5 (DL3 PE),K5,K5,True,2024-04-03,2024-04-08,2024-07-11,2024-07-11,19,19,False,배기가스 재순환장치 밸브 내부 쇼트(단락) 발생하여 주행 중 시동꺼짐 가능성
기아,쏘렌토(XM),쏘렌토,SORENTO,True,2010-07-05,2014-08-21,2024-07-15,2024-07-15,139291,139291,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,쏘렌토(XM),쏘렌토,SORENTO,True,2010-07-07,2010-10-28,2024-07-15,2024-07-15,47,47,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,쏘렌토(XM),쏘렌토,SORENTO,True,2010-07-07,2010-12-30,2024-07-15,2024-07-15,140,140,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
현대자동차,GV70(JK1),GV70,GV70,True,2024-03-11,2024-07-01,2024-07-18,2024-07-18,2782,2782,False,GV70(JK1) 일부 차량에서 엔진 점화코일 접지용(GND) 볼트가 다른 사양으로 잘못 조립되어 지속 운행 시 접촉 불량에 의한 시동 불량 및 시동 꺼짐 가능성이 있는 결함 사항이 확인
기아,봉고Ⅲ(PU),봉고3,BONGO,False,2023-08-18,2023-09-06,2024-07-22,2024-07-22,747,747,False,"봉고Ⅲ(PU) 일부 차량에서 리어 휠 구동축 락 너트 제조 불량으로 인해 나사산 물림량 부족하여 락 너트 체결 헐거움으로 주행 중 경고등 점등되며, 지속 주행 시 휠&타이어 이탈 가능성"
기아,레이(TAM),레이,RAY,False,2024-01-24,2024-01-29,2024-07-22,2024-07-22,175,175,False,운전석 안전띠 고정 브라켓 용접부 제조 불량으로 인해 자동차 고정벽면정면충돌 안전기준을 만족하지 못하는 결함
기아,K5(TF),K5,K5,True,2010-05-04,2015-06-24,2024-07-22,2024-07-22,168052,168052,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,K5(TF),K5,K5,True,2011-08-16,2015-06-18,2024-07-22,2024-07-22,18482,18482,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,K5 하이브리드(TF HEV),K5 하이브리드,K5,True,2011-05-03,2013-11-25,2024-07-22,2024-07-22,23749,23749,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,니로EV(DE EV),니로EV,NIRO EV,True,2021-07-22,2022-02-08,2024-07-24,2024-07-24,1986,1986,False,세이프티 플러그 제조 불량으로 인해 비정상적인 과열이 발생하여 세이프티 플러그의 소손 및 차량 주행 불가 발생 가능성
현대자동차,GV80(JX1),GV80,GV80,True,2021-11-23,2024-05-18,2024-07-31,2024-07-31,2869,2869,False,일부 차량에서 설계 미흡으로 전동 사이드스텝의 차체 고정부와 연료탱크 간격이 협소하여 측면 기둥 충돌 시 사이드스텝이 연료탱크를 타격하여 연료탱크 손상 및 연료 누유로 화재가 발생할 가능성이 있는 결함
현대자동차,GV80쿠페(JX1),GV80쿠페,GV80,True,2023-11-24,2024-05-03,2024-07-31,2024-07-31,273,273,False,일부 차량에서 설계 미흡으로 전동 사이드스텝의 차체 고정부와 연료탱크 간격이 협소하여 측면 기둥 충돌 시 사이드스텝이 연료탱크를 타격하여 연료탱크 손상 및 연료 누유로 화재가 발생할 가능성이 있는 결함
기아,쏘울(AM),쏘울,SOUL,True,2010-06-15,2013-10-01,2024-08-05,2024-08-05,1831,1831,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,쏘울(AM),쏘울,SOUL,True,2010-06-09,2013-09-30,2024-08-05,2024-08-05,13932,13932,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
현대자동차,팰리세이드(LX2),팰리세이드,PALISADE,True,2024-06-21,2024-07-05,2024-08-12,2024-08-12,48,48,False,팰리세이드(LX2) 일부 차량에서 엔진룸 배선 접지용(GND) 볼트가 불완전하게 잘못 조립되어 지속 운행 시 접촉 불량에 의한 시동 불량 및 시동 꺼짐 가능성이 있는 결함 사항이 확인
현대자동차,엑시언트 수소전기트럭(QZ FCEV),엑시언트 수소전기트럭,엑시언트 수소전기트럭,False,2021-12-06,2024-06-10,2024-08-14,2024-08-14,38,38,False,일부 차량에서 스티어링 기어박스내 조향 피트먼암 고정너트 작업불량으로 고정너트의 체결력이 저하되어 피트먼암이 이탈될 시 조향불가로 차량 조종 및 제어가 되지 않을 가능성
현대자동차,싼타페(MX5),싼타페,SANTA FE,True,2023-03-09,2024-07-09,2024-08-16,2024-08-16,18329,18329,False,"싼타페(MX5), 싼타페 하이브리드(MX5 HEV) 일부 차량에서 차체 하단 와이어링(배선) 경로 설계 불량으로 인해 2열 시트를 접을 시 와이어링(배선)과 시트 회전 장치가 간섭되어 2열 사이드 에어백 오전개 및 미전개 가능성이 있는 결함 사항이 확인"
현대자동차,싼타페 하이브리드(MX5 HEV),싼타페 하이브리드,SANTA FE,True,2023-03-20,2024-07-18,2024-08-16,2024-08-16,25597,25597,False,"싼타페(MX5), 싼타페 하이브리드(MX5 HEV) 일부 차량에서 차체 하단 와이어링(배선) 경로 설계 불량으로 인해 2열 시트를 접을 시 와이어링(배선)과 시트 회전 장치가 간섭되어 2열 사이드 에어백 오전개 및 미전개 가능성이 있는 결함 사항이 확인"
기아,프라이드(UB),프라이드,프라이드,False,2011-09-01,2017-03-31,2024-08-19,2024-08-19,35078,35078,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,프라이드(UB),프라이드,프라이드,False,2013-03-14,2016-12-21,2024-08-19,2024-08-19,1273,1273,True,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성
기아,니로EV(DE EV),니로EV,NIRO EV,True,2019-10-08,2022-02-08,2024-08-28,2024-08-28,57,57,False,세이프티 플러그 제조 불량으로 인해 비정상적인 과열이 발생하여 세이프티 플러그의 소손 및 차량 주행 불가 발생 가능성
현대자동차,제네시스 쿠페 (BK),제네시스 쿠페,GENESIS,False,2008-02-14,2012-03-30,2024-09-06,2024-09-06,2792,2792,False,수동 변속 일부 차량에서 클러치 페달에 장착된 이그니션 락 스위치 내구 설계 오류로 인해 클러치를 밟지 않아도 의도치 않게 시동이 걸려 브레이크를 밟지 않을 시 차량 거동이 발생할 가능성(정상 제동 가능)
